capacity_1e4_m3_d,CH4_1e4_m3_yr,tier
90.0,384.4764,I
20.0,85.43920000000001,I
15.0,74.51338125,I
7.0,34.77291125,I
3.5,19.870235,II
2.0,9.9351175,II
6.0,29.8053525,I
4.0,19.870235,II
15.0,80.9424,I
4.0,21.58464,II
2.0,11.35442,II
5.0,26.9808,I
4.0,18.88656,II
15.0,80.9424,I
1.95,9.207198,III
0.5,2.838605,III
0.5,2.69808,III
0.5,2.69808,III
0.5,1.774128125,III
0.5,2.69808,III
5.5,22.568315000000002,I
30.0,120.57045,I
18.0,124.95483,I
5.0,17.846675,I
20.0,94.43280000000001,I
5.0,15.317225,I
10.0,25.013450000000002,I
0.5,2.5575550000000002,III
3.0,13.82766,II
2.0,2.8105,II
5.0,10.539375,I
12.0,48.9027,I
10.0,38.2228,I
5.0,10.679900000000002,I
3.0,6.40794,II
6.0,23.10231,I
2.0,4.665430000000001,II
3.0,8.009925,II
1.5,3.625545,III
20.0,190.55190000000002,I
15.0,77.148225,I
2.5,19.532975000000004,II
2.5,12.787775000000002,II
3.0,18.127725,II
2.5,10.469112500000001,II
2.5,0.0,II
10.0,32.0397,I
10.0,0.0,I
2.0,3.26018,II
2.5,4.77785,II
6.0,20.910120000000003,I
10.0,41.0333,I
4.5,12.2678325,II
2.75,11.902467499999998,II
2.0,0.0,II
2.0,6.970040000000001,II
3.0,6.829515,II
8.0,46.76672,I
4.0,15.62638,II
2.5,10.750162500000002,II
2.0,7.19488,II
10.0,51.15110000000001,I
4.0,20.572860000000002,II
12.0,60.36954,I
1.25,22.09755625,III
2.5,13.630925,II
1.5,6.9559875,III
2.0,10.79232,II
2.0,5.452369999999999,II
2.0,5.56479,II
2.0,3.7660699999999996,II
1.0,1.91114,III
1.5,3.4990725000000005,III
2.0,4.77785,II
5.0,14.474074999999997,I
1.5,5.6069475,III
2.0,19.954550000000005,II
3.0,14.755125,II
0.24,0.404712,III
2.0,6.23931,II
0.5,0.9696225,III
1.0,2.0516650000000003,III
5.0,16.862999999999996,I
5.0,16.862999999999996,I
5.0,17.284574999999997,I
1.0,3.20397,III
3.0,30.690660000000005,II
1.0,2.445135,III
1.5,15.345330000000002,III
2.5,8.9233375,II
3.0,8.76876,II
2.5,8.9233375,II
3.0,14.50218,II
3.0,14.50218,II
5.5,25.35071,I
10.0,73.91615,I
3.0,11.972729999999999,II
2.0,9.106020000000001,II
2.0,12.197569999999999,II
4.0,24.619979999999998,II
2.0,9.89296,II
2.5,12.7175125,II
8.0,42.71960000000001,I
2.5,11.031212500000002,II
3.0,13.574715000000003,II
2.5,10.8906875,II
2.0,10.79232,II
6.0,21.75327,I
2.0,4.77785,II
4.0,16.413320000000002,II
2.0,6.63278,II
2.5,5.0589,II
8.0,36.87376,I
2.0,7.3073,II
4.0,17.76236,II
1.0,3.09155,III
4.0,17.087840000000003,II
2.5,10.6096375,II
1.5,5.6069475,III
8.0,37.77312,I
4.0,21.58464,II
3.0,13.32177,II
2.5,11.242,II
4.0,18.88656,II
4.0,10.455060000000001,II
2.0,4.15954,II
1.0,1.264725,III
2.0,1.6244690000000006,II
0.3,0.8178555000000001,III
2.0,6.295520000000001,II
5.0,12.506725000000001,I
2.0,5.789630000000001,II
1.0,3.8503850000000006,III
3.0,14.16492,II
2.0,5.227530000000001,II
2.0,5.56479,II
0.75,1.5598275,III
4.0,8.31908,II
8.0,11.46684,I
40.0,75.742975,I
5.0,17.75533375,I
5.0,31.37220625,I
10.0,27.26185,I
2.5,10.2671078125,II
2.5,10.205628125000002,II
1.25,8.6440440625,III
5.0,7.47593,I
1.5,4.500313125,III
1.0,0.0,III
1.0,1.4755125000000002,III
1.5,0.6455367187500001,III
4.0,17.301438,II
2.0,3.1969437499999995,II
1.0,2.9510250000000005,III
1.0,1.96735,III
12.0,43.50654,I
1.0,4.96755875,III
5.0,16.01985,I
30.0,132.796125,I
20.0,130.828775,I
6.0,40.4712,I
10.0,50.026900000000005,I
4.5,20.140745624999997,II
10.0,57.54498749999999,I
2.5,7.8079203124999985,II
10.0,46.092200000000005,I
2.5,6.086489062500001,II
2.0,8.705523750000001,II
2.0,5.789630000000001,II
3.0,10.47613875,II
0.8,1.7284575,III
3.0,24.124629375,II
1.0,2.7788818749999997,III
2.0,5.459396249999999,II
0.5,1.2787775000000001,III
1.0,1.7087839999999996,III
2.5,7.5620015625,II
4.8,22.663872,II
15.0,47.637975000000004,I
4.5,12.615631875,II
